accession	level_1	level_2	S-121	S-122	S-123	S-124	S-125	S-126	S-127	S-128	S-129	S-130	S-131	S-132	S-133	S-134	S-135	S-136	S-137	S-138	S-139	S-140	S-141	S-142	S-143	S-144	S-145	S-146	S-147	S-148	S-149	S-150	S-151	S-152	S-153	S-154	S-155	S-156	S-157	S-158	S-159	S-160	S-161	S-162	S-163	S-164	S-165	S-166	S-167	S-168	S-169	S-170	S-171	S-172	S-173	S-174	S-175	S-176	S-177	S-178	S-179	S-180	S-181	S-182	S-183	S-184	S-185	S-186	S-187	S-188	S-189	S-190	S-191	S-192
1001240.GY21_02770_gntK	Pentose phosphate pathway	gntK	1387567.0	423051.0	520609.0	331859.0	398184.0	316685.0	642130.0	543451.0	463503.0	266655.0	406454.0	525114.0	308199.0	449036.0	278018.0	945396.0	394007.0	369182.0	415282.0	456960.0	353814.0	572827.0	392849.0	319405.0	402033.0	482348.0	402997.0	262249.0	425069.0	373551.0	332591.0	510585.0	350540.0	297701.0	332608.0	473516.0	414182.0	382784.0	408894.0	336766.0	234949.0	523834.0	376694.0	350474.0	376912.0	328674.0	336439.0	542160.0	345576.0	1030662.0	290289.0	432215.0	330950.0	289481.0	388618.0	284229.0	463205.0	542458.0	340993.0	498037.0	381850.0	334526.0	205639.0	1160337.0	426377.0	402555.0	377752.0	419540.0	406846.0	662738.0	362839.0	377578.0
taa:NMY3_03342_guaA	Purine metabolism	guaA	2645706.0	842630.0	1039013.0	702582.0	827418.0	642492.0	1222860.0	1053950.0	940897.0	610099.0	836187.0	1084297.0	651351.0	864404.0	542614.0	1827182.0	713035.0	734115.0	809973.0	896938.0	708119.0	1096994.0	795536.0	623114.0	890480.0	963938.0	808864.0	553609.0	838896.0	786222.0	650097.0	975865.0	680205.0	646630.0	725817.0	1006497.0	825459.0	783179.0	725727.0	635592.0	470236.0	995518.0	786296.0	702015.0	766478.0	641759.0	650722.0	1083672.0	690087.0	1970392.0	598063.0	870563.0	654217.0	633462.0	757704.0	585910.0	872399.0	1090365.0	701666.0	1010154.0	733111.0	680405.0	391772.0	1981537.0	812716.0	771463.0	722614.0	826725.0	768748.0	1222330.0	722952.0	753278.0
taa:NMY3_03356_guaB	Purine metabolism	guaB	2889647.0	916247.0	1150774.0	744578.0	879811.0	696609.0	1348128.0	1059116.0	971526.0	636809.0	890411.0	1200509.0	711476.0	923211.0	532981.0	1843993.0	738308.0	786387.0	899316.0	1015931.0	794923.0	1224492.0	849329.0	702581.0	963371.0	1059761.0	913529.0	598334.0	887035.0	857575.0	707234.0	1022333.0	706200.0	645008.0	786397.0	1137667.0	917848.0	916225.0	756275.0	675680.0	500387.0	1107335.0	825713.0	748164.0	843756.0	738849.0	672723.0	1230910.0	742864.0	2030197.0	661984.0	956221.0	687824.0	673813.0	837555.0	625247.0	910246.0	1125995.0	791555.0	1174563.0	818635.0	753685.0	392330.0	2096972.0	873639.0	857814.0	786261.0	870659.0	849564.0	1387016.0	746118.0	811141.0
O69060_htxA	Others	htxA	1762.0	780.0	43.0	413.0	341.0	293.0	1259.0	459.0	574.0	230.0	438.0	779.0	280.0	499.0	582.0	738.0	729.0	237.0	166.0	839.0	411.0	399.0	NA	607.0	1142.0	881.0	750.0	436.0	611.0	494.0	429.0	1007.0	229.0	326.0	287.0	926.0	471.0	567.0	89.0	144.0	180.0	576.0	593.0	471.0	944.0	375.0	41.0	601.0	143.0	831.0	87.0	330.0	596.0	106.0	517.0	126.0	276.0	380.0	475.0	650.0	773.0	506.0	170.0	622.0	254.0	441.0	592.0	344.0	551.0	286.0	376.0	200.0
1120792.JAFV01000001_gene657_htxB	Transporters	htxB	6418.0	2547.0	1077.0	2275.0	2410.0	480.0	1090.0	2691.0	398.0	95.0	764.0	4339.0	979.0	790.0	125.0	193.0	326.0	651.0	554.0	1060.0	2626.0	3423.0	404.0	1348.0	1689.0	1932.0	1099.0	735.0	1394.0	531.0	2258.0	843.0	660.0	216.0	2312.0	992.0	1506.0	3042.0	563.0	269.0	275.0	1655.0	829.0	748.0	2862.0	2011.0	1214.0	3046.0	1356.0	4282.0	689.0	2465.0	765.0	1462.0	2612.0	310.0	98.0	336.0	2296.0	1085.0	3112.0	866.0	163.0	308.0	1859.0	730.0	609.0	1437.0	464.0	4019.0	1436.0	784.0
1001585.MDS_4794_lysR	Others	lysR	1795759.0	557641.0	692452.0	461209.0	543638.0	445976.0	927073.0	796467.0	678111.0	363640.0	574226.0	726003.0	404605.0	603865.0	383777.0	1114316.0	495722.0	502413.0	614067.0	702515.0	485678.0	804861.0	475531.0	385088.0	527733.0	570620.0	562706.0	364929.0	574604.0	544541.0	468871.0	742469.0	494880.0	389860.0	478283.0	646844.0	570944.0	552254.0	551776.0	410685.0	313524.0	698810.0	549829.0	467607.0	567649.0	435425.0	444492.0	660247.0	466049.0	1508882.0	396518.0	602170.0	466847.0	416542.0	583441.0	375693.0	636289.0	710627.0	508086.0	705917.0	523488.0	461733.0	281487.0	1477230.0	619377.0	558903.0	546415.0	566979.0	609195.0	993533.0	486132.0	438603.0
436308.Nmar_0155_mpnS	Phosphonate and phosphinate metabolism	mpnS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.0	127.0	NA	31.0	NA	NA	NA	NA	NA	NA	NA	73.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	136.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	216.0	NA	NA	NA	NA	NA	NA	NA	NA
taa:NMY3_00937_ndk	Purine metabolism	ndk	647187.0	211952.0	254888.0	176133.0	211052.0	168523.0	320102.0	270876.0	243191.0	152907.0	222248.0	275499.0	155680.0	221325.0	142855.0	481552.0	189939.0	191439.0	198164.0	232415.0	182242.0	289944.0	204325.0	164449.0	214656.0	252644.0	214917.0	144595.0	215996.0	205598.0	165076.0	249585.0	173515.0	160099.0	188024.0	256901.0	203238.0	204400.0	188399.0	164487.0	118650.0	259312.0	201736.0	175407.0	202477.0	170494.0	172901.0	284430.0	172816.0	509824.0	152731.0	223825.0	155686.0	160945.0	203031.0	143948.0	221874.0	276179.0	179221.0	258065.0	182358.0	166617.0	100450.0	532275.0	204514.0	198895.0	188624.0	208879.0	197457.0	331680.0	188338.0	196011.0
tat:KUM_0017_nrdA	Pyrimidine metabolism	nrdA	445336.0	139559.0	157093.0	123019.0	150485.0	120653.0	226341.0	216269.0	213833.0	117145.0	186690.0	189374.0	98384.0	184231.0	124809.0	322608.0	170260.0	134219.0	159988.0	183861.0	124138.0	185432.0	135713.0	97117.0	159424.0	143720.0	136196.0	93425.0	157024.0	142282.0	139582.0	198562.0	162053.0	141847.0	120429.0	146342.0	135982.0	119900.0	156476.0	116331.0	106905.0	172859.0	146158.0	132535.0	147142.0	107267.0	117389.0	163743.0	127396.0	378508.0	98859.0	146400.0	124968.0	112106.0	143312.0	108495.0	188764.0	216556.0	123176.0	171124.0	118644.0	112380.0	80642.0	373969.0	160125.0	145207.0	147779.0	170213.0	127135.0	181438.0	139763.0	107600.0
tbn:TBH_C0606_nrdB	Pyrimidine metabolism	nrdB	203194.0	52408.0	63964.0	48185.0	58072.0	49790.0	84734.0	94311.0	103373.0	45358.0	79098.0	69424.0	50046.0	80448.0	74857.0	129018.0	73055.0	53833.0	78673.0	74787.0	123332.0	69410.0	115359.0	35934.0	62659.0	53682.0	49735.0	36010.0	63034.0	53060.0	60452.0	74493.0	69424.0	56763.0	48787.0	53396.0	51207.0	44582.0	73704.0	52806.0	43903.0	60302.0	61510.0	50581.0	73506.0	37702.0	61179.0	59798.0	59137.0	152575.0	38578.0	56080.0	53264.0	45240.0	56352.0	42924.0	79918.0	88724.0	46008.0	62246.0	44931.0	38865.0	59829.0	174913.0	62448.0	54097.0	68802.0	67425.0	60788.0	72097.0	66898.0	43448.0
tbw:NCTC13354_01124_nrdD	Pyrimidine metabolism	nrdD	48310.0	14086.0	20588.0	13298.0	13699.0	12208.0	22813.0	20705.0	12132.0	8347.0	17162.0	23121.0	10278.0	17700.0	8419.0	22198.0	18275.0	12869.0	19760.0	16874.0	12194.0	15870.0	9303.0	9769.0	12904.0	12327.0	13695.0	8166.0	12867.0	15314.0	11121.0	13736.0	9518.0	11589.0	11401.0	19026.0	14179.0	13522.0	10390.0	6892.0	8637.0	13068.0	11813.0	9859.0	12529.0	10266.0	8259.0	15961.0	12650.0	50759.0	9323.0	15604.0	7482.0	11358.0	12169.0	7108.0	10344.0	15399.0	9342.0	20507.0	9463.0	13123.0	5638.0	29622.0	10429.0	10888.0	11869.0	15232.0	12953.0	17475.0	7999.0	8658.0
tbw:NCTC13354_01093_nrdE	Pyrimidine metabolism	nrdE	65010.0	20755.0	27275.0	21160.0	27195.0	20071.0	33238.0	54128.0	24780.0	12790.0	29629.0	28881.0	15295.0	35597.0	16268.0	46301.0	34299.0	22633.0	24083.0	30855.0	19593.0	28061.0	21291.0	15464.0	19840.0	21228.0	17442.0	14322.0	23348.0	22180.0	16604.0	33665.0	19098.0	23456.0	16368.0	22457.0	19080.0	17614.0	18261.0	18700.0	16756.0	28802.0	19806.0	23500.0	18498.0	18776.0	22705.0	23827.0	20719.0	62445.0	15882.0	23383.0	21459.0	19638.0	21142.0	19974.0	24626.0	31798.0	15822.0	26070.0	16840.0	17075.0	12108.0	71385.0	23812.0	28716.0	21653.0	36809.0	17895.0	30372.0	20629.0	19295.0
